,Geohash,building_count,total_road_length,lat,lon,elevation,slope,NDVI,Cell_ID,Site_latitude,Site_longitude,EARFCN_DL,population_density,RSRP,RSRQ,antenna_height,azimuth,tilt
52,tc1sfty,0.0,0,6.492233276367188,80.97816467285156,115.67641,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,7.900449275970459,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
53,tc1sftz,0.0,0,6.492233276367188,80.97953796386719,117.10878,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,7.900449275970459,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
54,tc1sfuf,0.0,0,6.486740112304688,80.98365783691406,106.6966,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.895258903503418,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
55,tc1sfug,0.0,0,6.486740112304688,80.98503112792969,107.67416,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.895258903503418,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
56,tc1sfuq,0.0,0,6.4839935302734375,80.98915100097656,111.9207,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.895258903503418,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
57,tc1sfur,0.0,0,6.4839935302734375,80.99052429199219,109.534546,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,12.760326385498049,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
58,tc1sfus,0.0,0,6.485366821289063,80.98640441894531,104.355934,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.895258903503418,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
59,tc1sfut,0.0,0,6.485366821289063,80.98777770996094,106.85083,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.895258903503418,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
60,tc1sfuu,0.0,0,6.486740112304688,80.98640441894531,107.68644,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.895258903503418,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
61,tc1sfuv,0.0,0,6.486740112304688,80.98777770996094,107.85193,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.895258903503418,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
62,tc1sfuw,0.0,0,6.485366821289063,80.98915100097656,105.799324,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.895258903503418,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
