,EARFCN_DL,antenna_height,azimuth,tilt,Site_latitude,Site_longitude,building_count,total_road_length,elevation,NDVI,population_density,Geohash,RSRP,RSRQ,Cell_ID
54,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,106.6966,1.0,11.895256,tc1sfuf,-15.773713,-3.462251,Cell_144
55,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,107.67416,1.0,11.895256,tc1sfug,-15.773309,-3.4622555,Cell_144
56,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,111.9207,1.0,11.895256,tc1sfuq,-15.773143,-3.4621892,Cell_144
57,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,109.534546,1.0,12.760326,tc1sfur,-15.772497,-3.462263,Cell_144
58,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,104.355934,1.0,11.895256,tc1sfus,-15.771799,-3.4624166,Cell_144
59,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,106.85083,1.0,11.895256,tc1sfut,-15.771571,-3.4623935,Cell_144
60,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,107.68644,1.0,11.895256,tc1sfuu,-15.771244,-3.4624066,Cell_144
61,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,107.85193,1.0,11.895256,tc1sfuv,-15.77089,-3.4624352,Cell_144
62,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,105.799324,1.0,11.895256,tc1sfuw,-15.770418,-3.4625094,Cell_144
63,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,108.59618,1.0,12.760326,tc1sfux,-15.770204,-3.4624755,Cell_144
64,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,110.077736,1.0,11.895256,tc1sfuy,-15.770013,-3.462489,Cell_144
65,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,116.25556,1.0,12.760326,tc1sfuz,-15.770008,-3.462393,Cell_144
