Cell_ID,Cell Name,RSRP,RSRQ,Geohash,EARFCN_DL,Latitude_of_MDT,Longitude_of_MDT,MR_Count,Site ID,Site Name (from MAIN DATA),Cell ID,Antenna Height,Azimuth,E Tilt,M Tilt,Tilt,Latitude_of_Site,Longitude_of_Site,MDT height from MSL,Site height from MSL,Height Difference,Horizontal Distance,Angle_from_North,Azimuth_to_nearest_5_degrees,Reduced_Amount,Normalized_Azimuth,Latitude_Difference,Longitude_Difference,name,name:en,highway,surface,smoothness,width,lanes,oneway,bridge,layer,source,name:si,name:ta,osm_id,osm_type,Road_Coverage,Population_Density,NDVI,Building_Density
6288642,Kanuwana_Junc-GM0849-H_C,0,0,tc2b61c6,1650,7.085206,79.894414,0,GM0849,Kanuwana_Junc,L18_3,14,230,3,2,5,7.085208,79.893791,13,11,2,0.068745807,90.18531139,230,180,50,-2.00E-06,0.000623,Gampaha - Ja Ela Road,,primary,asphalt,,,,no,,,,,,50286636,ways_line,1,5167.311035,0.130006865,116
6288642,Kanuwana_Junc-GM0849-H_C,0,0,tc2b61c6,1650,7.085206,79.894414,0,GM0849,Kanuwana_Junc,L18_3,14,230,3,2,5,7.085208,79.893791,13,11,2,0.068745807,90.18531139,230,180,50,-2.00E-06,0.000623,Peter Rodrigo,,residential,,,,,,,,,,,407668541,ways_line,1,5167.311035,0.130006865,116
6288642,Kanuwana_Junc-GM0849-H_C,0,0,tc2b61c6,1650,7.085206,79.894414,0,GM0849,Kanuwana_Junc,L18_3,14,230,3,2,5,7.085208,79.893791,13,11,2,0.068745807,90.18531139,230,180,50,-2.00E-06,0.000623,Alexandra Road,,residential,concrete,,,,no,,,,,,112452712,ways_line,1,5167.311035,0.130006865,116
6320640,Welisara_Navy_Camp-GM0675-H_A,-92,-15,tc0zfm4b,1650,7.014879,79.907648,3,GM0675,Welisara_Navy_Camp,L18_1,30,130,3,0,3,7.018539,79.902175,7,8,1,0.728325381,123.9711129,130,90,40,-0.00366,0.005473,,,service,,,,,,,,,,,1326518080,ways_line,1,1797.991821,0.500007629,19
6320640,Welisara_Navy_Camp-GM0675-H_A,-92,-15,tc0zfm4b,1650,7.014879,79.907648,3,GM0675,Welisara_Navy_Camp,L18_1,30,130,3,0,3,7.018539,79.902175,7,8,1,0.728325381,123.9711129,130,90,40,-0.00366,0.005473,,,residential,,,,,,,,,,,179758179,ways_line,1,1797.991821,0.500007629,19
6320640,Welisara_Navy_Camp-GM0675-H_A,-92,-15,tc0zfm4b,1650,7.014879,79.907648,3,GM0675,Welisara_Navy_Camp,L18_1,30,130,3,0,3,7.018539,79.902175,7,8,1,0.728325381,123.9711129,130,90,40,-0.00366,0.005473,,,residential,,,,,,,,,,,327704472,ways_line,1,1797.991821,0.500007629,19
6350082,Toyota_Wattala_Lamp-GM5153-H_C,-83,-11.5,tc0z9zur,1650,6.98718,79.887524,4,GM5153,Toyota_Wattala_Lamp,L18_3,20,335,3,0,3,6.98695,79.8896,7,5,2,0.230549261,276.3690559,335,270,65,0.00023,-0.002076,A.S.P Liayange Mawatha,,residential,,,,,,,,,,,180364919,ways_line,1,4470.71582,0.380010694,1
6350082,Toyota_Wattala_Lamp-GM5153-H_C,-83,-11.5,tc0z9zur,1650,6.98718,79.887524,4,GM5153,Toyota_Wattala_Lamp,L18_3,20,335,3,0,3,6.98695,79.8896,7,5,2,0.230549261,276.3690559,335,270,65,0.00023,-0.002076,Alvis Town Road,,tertiary,,,,,,yes,1,,,,99244330,ways_line,1,4470.71582,0.380010694,1
6350082,Toyota_Wattala_Lamp-GM5153-H_C,-83,-11.5,tc0z9zur,1650,6.98718,79.887524,4,GM5153,Toyota_Wattala_Lamp,L18_3,20,335,3,0,3,6.98695,79.8896,7,5,2,0.230549261,276.3690559,335,270,65,0.00023,-0.002076,,,service,,,,,,,,,,,1256456543,ways_line,1,4470.71582,0.380010694,1
6350082,Toyota_Wattala_Lamp-GM5153-H_C,-83,-11.5,tc0z9zur,1650,6.98718,79.887524,4,GM5153,Toyota_Wattala_Lamp,L18_3,20,335,3,0,3,6.98695,79.8896,7,5,2,0.230549261,276.3690559,335,270,65,0.00023,-0.002076,Ela Ivura Road,,residential,,,,,,,,,,,180524803,ways_line,1,4470.71582,0.380010694,1
6350082,Toyota_Wattala_Lamp-GM5153-H_C,-83,-11.5,tc0z9zur,1650,6.98718,79.887524,4,GM5153,Toyota_Wattala_Lamp,L18_3,20,335,3,0,3,6.98695,79.8896,7,5,2,0.230549261,276.3690559,335,270,65,0.00023,-0.002076,Alvis Town Road,,tertiary,,,,,,,,,,,360218039,ways_line,1,4470.71582,0.380010694,1
6783232,Korase_North-GM0429-H_A,-99.88,-10.44,tc2btj80,1650,7.149417,80.024586,45,GM0429,Korase_North,L18_1,50,40,3,0,3,7.148015,80.020966,37,32,5,0.428743491,68.67772921,40,0,40,0.001402,0.00362,,,residential,,,,,,,,,,,424629925,ways_line,1,628.7642212,0,12
6783232,Korase_North-GM0429-H_A,-99.88,-10.44,tc2btj80,1650,7.149417,80.024586,45,GM0429,Korase_North,L18_1,50,40,3,0,3,7.148015,80.020966,37,32,5,0.428743491,68.67772921,40,0,40,0.001402,0.00362,,,residential,,,,,,,,,,,424630900,ways_line,1,628.7642212,0,12
5121795,Thummulla-CM0173-H_D,-65.25,-10.72,tc0z1r2b,1650,6.895449,79.860692,150,CM0173,Thummulla,L18_4,32,280,5,0,5,6.894562,79.86113,15,15,0,0.109843937,333.8846357,280,270,10,0.000887,-0.000438,,,living_street,paved,intermediate,,,,,,,,,940233630,ways_line,1,5546.224609,0.440009147,40
5121795,Thummulla-CM0173-H_D,-65.25,-10.72,tc0z1r2b,1650,6.895449,79.860692,150,CM0173,Thummulla,L18_4,32,280,5,0,5,6.894562,79.86113,15,15,0,0.109843937,333.8846357,280,270,10,0.000887,-0.000438,,,service,asphalt,intermediate,,,,,,,,,712317034,ways_line,1,5546.224609,0.440009147,40
5161770,Dematagoda_North-CM0277-B_C,-14.67,-1.44,tc0z3wjk,3750,6.93322,79.878097,3,CM0277,Dematagoda_North,L9_3,18,230,8,0,8,6.934637,79.8784,8,7,1,0.161073823,191.984203,230,180,50,-0.001417,-0.000303,Baseline Road,,trunk,asphalt,,,3,yes,,,,,,1070554501,ways_line,1,20994.86328,0.500007629,21
5161770,Dematagoda_North-CM0277-B_C,-14.67,-1.44,tc0z3wjk,3750,6.93322,79.878097,3,CM0277,Dematagoda_North,L9_3,18,230,8,0,8,6.934637,79.8784,8,7,1,0.161073823,191.984203,230,180,50,-0.001417,-0.000303,Baseline Garden,,unclassified,asphalt,,,,,,,,,,369743762,ways_line,1,20994.86328,0.500007629,21
5161770,Dematagoda_North-CM0277-B_C,-14.67,-1.44,tc0z3wjk,3750,6.93322,79.878097,3,CM0277,Dematagoda_North,L9_3,18,230,8,0,8,6.934637,79.8784,8,7,1,0.161073823,191.984203,230,180,50,-0.001417,-0.000303,Kent Road,,unclassified,asphalt,,,,,,,,,,362613169,ways_line,1,20994.86328,0.500007629,21
5161770,Dematagoda_North-CM0277-B_C,-14.67,-1.44,tc0z3wjk,3750,6.93322,79.878097,3,CM0277,Dematagoda_North,L9_3,18,230,8,0,8,6.934637,79.8784,8,7,1,0.161073823,191.984203,230,180,50,-0.001417,-0.000303,Kopiwatta road,,residential,asphalt,,,,,,,,,,55418720,ways_line,1,20994.86328,0.500007629,21
5184287,Udahamulla-CM0115-H_4B,-71.58,-11.58,tc0z43kb,1650,6.862354,79.910187,27,CM0115,Udahamulla,L18_2222,50,150,5,3,8,6.866929,79.910322,14,25,11,0.508935057,181.6781031,150,90,60,-0.004575,-0.000135,,,residential,,,,,,,,,,,256778596,ways_line,1,6735.279785,0.500007629,61
5184287,Udahamulla-CM0115-H_4B,-71.58,-11.58,tc0z43kb,1650,6.862354,79.910187,27,CM0115,Udahamulla,L18_2222,50,150,5,3,8,6.866929,79.910322,14,25,11,0.508935057,181.6781031,150,90,60,-0.004575,-0.000135,Udahamulla Station Road,,tertiary,asphalt,,,,,,,,,,131349583,ways_line,1,6735.279785,0.500007629,61
5184287,Udahamulla-CM0115-H_4B,-71.58,-11.58,tc0z43kb,1650,6.862354,79.910187,27,CM0115,Udahamulla,L18_2222,50,150,5,3,8,6.866929,79.910322,14,25,11,0.508935057,181.6781031,150,90,60,-0.004575,-0.000135,Station Lane,,residential,asphalt,,,,,,,,,,199957737,ways_line,1,6735.279785,0.500007629,61
