Cell_ID,Cell Name,RSRP,RSRQ,Geohash,EARFCN_DL,Latitude_of_MDT,Longitude_of_MDT,MR_Count,Site ID,Site Name (from MAIN DATA),Cell ID,Antenna Height,Azimuth,E Tilt,M Tilt,Tilt,Latitude_of_Site,Longitude_of_Site,MDT height from MSL,Site height from MSL,Height Difference,Horizontal Distance,Angle_from_North,Azimuth_to_nearest_5_degrees,Reduced_Amount,Normalized_Azimuth,Latitude_Difference,Longitude_Difference,name,name:en,highway,surface,smoothness,width,lanes,oneway,bridge,layer,source,name:si,name:ta,osm_id,osm_type,Road_Coverage,Population_Density,geohash,total_population,population_density
5519618,Main_St_North-CM1039-H_C,-28.17,-4.67,tc0z3p5t,1650,6.938796,79.853622,3,CM1039,Main_St_North,L18_3,13.0,250.0,2,6.0,8.0,6.938471,79.852953,12,13,1,0.082213158,63.92357814,250,180,70,0.000325,0.000669,St John Street,,residential,,,,,,,,yahoo,,,34695075.0,ways_line,1,13565.39844,tc0z3p5t,38,0.101667926
5809153,Shrubbery_Garden_Rd_Lamp-CM5008-H_B,-41.67,-5.08,tc0z1ju5,1650,6.887715,79.854347,8,CM5008,Shrubbery_Garden_Rd_Lamp,L18_2,12.0,90.0,12,0.0,12.0,6.888467,79.854239,3,6,3,0.084464257,171.8854289,90,90,0,-0.000752,0.000108,Retreat Road,,residential,,,,,,,,,,,50154672.0,ways_line,1,5027.750488,tc0z1ju5,0,0.0
5809153,Shrubbery_Garden_Rd_Lamp-CM5008-H_B,-41.67,-5.08,tc0z1ju5,1650,6.887715,79.854347,8,CM5008,Shrubbery_Garden_Rd_Lamp,L18_2,12.0,90.0,12,0.0,12.0,6.888467,79.854239,3,6,3,0.084464257,171.8854289,90,90,0,-0.000752,0.000108,Marine Drive,,tertiary,asphalt,excellent,,4.0,,,,,,,1027462378.0,ways_line,1,5027.750488,tc0z1ju5,0,0.0
6021377,Elibank_Rd-CM1438-H_B,-91.5,-13.0,tc0z1m0f,1650,6.883398,79.860874,4,CM1438,Elibank_Rd,L18_2,30.0,220.0,7,2.0,9.0,6.884532,79.865192,13,14,1,0.493074225,255.1832721,220,180,40,-0.001134,-0.004318,Lorenz Road,,residential,asphalt,,,,yes,,,,,,378850372.0,ways_line,1,6128.499023,tc0z1m0f,0,0.0
6021377,Elibank_Rd-CM1438-H_B,-91.5,-13.0,tc0z1m0f,1650,6.883398,79.860874,4,CM1438,Elibank_Rd,L18_2,30.0,220.0,7,2.0,9.0,6.884532,79.865192,13,14,1,0.493074225,255.1832721,220,180,40,-0.001134,-0.004318,Lorenz Road,,residential,asphalt,,,,yes,,,,,,1095074524.0,ways_line,1,6128.499023,tc0z1m0f,0,0.0
6021377,Elibank_Rd-CM1438-H_B,-91.5,-13.0,tc0z1m0f,1650,6.883398,79.860874,4,CM1438,Elibank_Rd,L18_2,30.0,220.0,7,2.0,9.0,6.884532,79.865192,13,14,1,0.493074225,255.1832721,220,180,40,-0.001134,-0.004318,Lorenz Road,,residential,asphalt,,,,yes,,,,,,1095074523.0,ways_line,1,6128.499023,tc0z1m0f,0,0.0
6021377,Elibank_Rd-CM1438-H_B,-91.5,-13.0,tc0z1m0f,1650,6.883398,79.860874,4,CM1438,Elibank_Rd,L18_2,30.0,220.0,7,2.0,9.0,6.884532,79.865192,13,14,1,0.493074225,255.1832721,220,180,40,-0.001134,-0.004318,,,service,,,,,,,,,,,1228539355.0,ways_line,1,6128.499023,tc0z1m0f,0,0.0
6021377,Elibank_Rd-CM1438-H_B,-91.5,-13.0,tc0z1m0f,1650,6.883398,79.860874,4,CM1438,Elibank_Rd,L18_2,30.0,220.0,7,2.0,9.0,6.884532,79.865192,13,14,1,0.493074225,255.1832721,220,180,40,-0.001134,-0.004318,Lorenz Road,,residential,asphalt,,,,,,,,,,41659620.0,ways_line,1,6128.499023,tc0z1m0f,0,0.0
6021377,Elibank_Rd-CM1438-H_B,-91.5,-13.0,tc0z1m0f,1650,6.883398,79.860874,4,CM1438,Elibank_Rd,L18_2,30.0,220.0,7,2.0,9.0,6.884532,79.865192,13,14,1,0.493074225,255.1832721,220,180,40,-0.001134,-0.004318,R. A. De Mel Mawatha,,trunk,asphalt,,,2.0,yes,,,,,,377515217.0,ways_line,1,6128.499023,tc0z1m0f,0,0.0
6141718,Swarna_Rd-CM1519-H_2C,-21.76,-3.64,tc0z1mn8,1650,6.883038,79.868669,8,CM1519,Swarna_Rd,L18_33,25.0,270.0,6,0.0,6.0,6.883495,79.868683,8,11,3,0.050839578,181.7420446,270,270,0,-0.000457,-1.4e-05,Sri Sambuddhathva Jayanthi Mawatha,,trunk,asphalt,,,5.0,,,,,,,23825686.0,ways_line,1,8334.839844,tc0z1mn8,0,0.0
6141718,Swarna_Rd-CM1519-H_2C,-21.76,-3.64,tc0z1mn8,1650,6.883038,79.868669,8,CM1519,Swarna_Rd,L18_33,25.0,270.0,6,0.0,6.0,6.883495,79.868683,8,11,3,0.050839578,181.7420446,270,270,0,-0.000457,-1.4e-05,,,service,,,,,yes,,,,,,1217662566.0,ways_line,1,8334.839844,tc0z1mn8,0,0.0
6141718,Swarna_Rd-CM1519-H_2C,-21.76,-3.64,tc0z1mn8,1650,6.883038,79.868669,8,CM1519,Swarna_Rd,L18_33,25.0,270.0,6,0.0,6.0,6.883495,79.868683,8,11,3,0.050839578,181.7420446,270,270,0,-0.000457,-1.4e-05,,,service,,,,,yes,,,,,,1217662567.0,ways_line,1,8334.839844,tc0z1mn8,0,0.0
6141718,Swarna_Rd-CM1519-H_2C,-21.76,-3.64,tc0z1mn8,1650,6.883038,79.868669,8,CM1519,Swarna_Rd,L18_33,25.0,270.0,6,0.0,6.0,6.883495,79.868683,8,11,3,0.050839578,181.7420446,270,270,0,-0.000457,-1.4e-05,,,service,,,,,,,,,,,1218183352.0,ways_line,1,8334.839844,tc0z1mn8,0,0.0
6141718,Swarna_Rd-CM1519-H_2C,-21.76,-3.64,tc0z1mn8,1650,6.883038,79.868669,8,CM1519,Swarna_Rd,L18_33,25.0,270.0,6,0.0,6.0,6.883495,79.868683,8,11,3,0.050839578,181.7420446,270,270,0,-0.000457,-1.4e-05,,,residential,asphalt,,,,,,,,,,371690901.0,ways_line,1,8334.839844,tc0z1mn8,0,0.0
6303232,Kaldemulla_West-CM1581-H_A,-109.58,-15.17,tc0y9wuf,1650,6.805157,79.87719,17,CM1581,Kaldemulla_West,L18_1,15.6,10.0,3,1.0,4.0,6.80385,79.87505,11,12,1,0.277398709,58.40502496,10,0,10,0.001307,0.00214,C P De Silva Avenue,,residential,,,,,,,,,,,109393162.0,ways_line,1,11957.5957,tc0y9wuf,0,0.0
6311681,Nugegoda_Reloc-CM2144-H_B,-62.77,-8.62,tc0z1fw0,1650,6.869369,79.889881,10,CM2144,Nugegoda_Reloc,L18_2,15.0,140.0,6,0.0,6.0,6.870949,79.890428,19,13,6,0.185776331,198.9687352,140,90,50,-0.00158,-0.000547,Nalandarama Road,,residential,,,,,,,,,,,54029228.0,ways_line,1,5834.535156,tc0z1fw0,0,0.0
6311681,Nugegoda_Reloc-CM2144-H_B,-62.77,-8.62,tc0z1fw0,1650,6.869369,79.889881,10,CM2144,Nugegoda_Reloc,L18_2,15.0,140.0,6,0.0,6.0,6.870949,79.890428,19,13,6,0.185776331,198.9687352,140,90,50,-0.00158,-0.000547,High Level Road,,trunk,,,,4.0,,,,,,,50070021.0,ways_line,1,5834.535156,tc0z1fw0,0,0.0
6311681,Nugegoda_Reloc-CM2144-H_B,-62.77,-8.62,tc0z1fw0,1650,6.869369,79.889881,10,CM2144,Nugegoda_Reloc,L18_2,15.0,140.0,6,0.0,6.0,6.870949,79.890428,19,13,6,0.185776331,198.9687352,140,90,50,-0.00158,-0.000547,,,footway,,,,,,,,,,,539468754.0,ways_line,1,5834.535156,tc0z1fw0,0,0.0
6311681,Nugegoda_Reloc-CM2144-H_B,-62.77,-8.62,tc0z1fw0,1650,6.869369,79.889881,10,CM2144,Nugegoda_Reloc,L18_2,15.0,140.0,6,0.0,6.0,6.870949,79.890428,19,13,6,0.185776331,198.9687352,140,90,50,-0.00158,-0.000547,,,trunk_link,,,,,yes,,,,,,356319798.0,ways_line,1,5834.535156,tc0z1fw0,0,0.0
6311681,Nugegoda_Reloc-CM2144-H_B,-62.77,-8.62,tc0z1fw0,1650,6.869369,79.889881,10,CM2144,Nugegoda_Reloc,L18_2,15.0,140.0,6,0.0,6.0,6.870949,79.890428,19,13,6,0.185776331,198.9687352,140,90,50,-0.00158,-0.000547,,,trunk_link,,,,,yes,,,,,,356319797.0,ways_line,1,5834.535156,tc0z1fw0,0,0.0
6311681,Nugegoda_Reloc-CM2144-H_B,-62.77,-8.62,tc0z1fw0,1650,6.869369,79.889881,10,CM2144,Nugegoda_Reloc,L18_2,15.0,140.0,6,0.0,6.0,6.870949,79.890428,19,13,6,0.185776331,198.9687352,140,90,50,-0.00158,-0.000547,High Level Road,,trunk,,,,,,yes,1.0,,,,350074156.0,ways_line,1,5834.535156,tc0z1fw0,0,0.0
6327553,Muwadora_Uyana_2_Lamp-CM5133-H_B,-32.1,-4.65,tc0z9enm,1650,6.96074,79.879366,10,CM5133,Muwadora_Uyana_2_Lamp,L18_2,20.0,145.0,0,0.0,0.0,6.961795,79.876746,4,4,0,0.312071559,112.0803747,145,90,55,-0.001055,0.00262,Japan - Sri Lanka Friendship Bridge,,trunk,asphalt,,,2.0,yes,viaduct,1.0,,,,29483038.0,ways_line,1,13581.79297,tc0z9enm,0,0.0
6327553,Muwadora_Uyana_2_Lamp-CM5133-H_B,-32.1,-4.65,tc0z9enm,1650,6.96074,79.879366,10,CM5133,Muwadora_Uyana_2_Lamp,L18_2,20.0,145.0,0,0.0,0.0,6.961795,79.876746,4,4,0,0.312071559,112.0803747,145,90,55,-0.001055,0.00262,Japan - Sri Lanka Friendship Bridge,,trunk,asphalt,,,2.0,yes,viaduct,1.0,,,,29482553.0,ways_line,1,13581.79297,tc0z9enm,0,0.0
